דִּ מְ י וֹן	di mˈ j on
לְ הַ נְ גִּ י שׁ	le ha nˈ g i ʃ
לְ הִ תְ נַ גֵּ ב	le h it naˈ ge v
לְ רַ צוֹ ת	le ra tˈso t
רְ בַ בַה	re vaˈ va
ל ק ר ו ן	l ikˈ r o n
לְ הִ י ו וַּ תֵ ר	le h i v aˈ te r
מִ טְ רָ ד	mi tˈ ra d
ש ת ן	ˈʃe te n
רְ מִי יָּ ה	re miˈ j a
ס ק ר ן	sa kˈ r an
רֶ ג ֶ ל	ˈre g e l
ט וֹ בָ ה	t oˈ v a
מ כ ו נ ית	me x oˈ n it
לִ שְׁ א וֹ ף	li ʃˈ ʔ o f
פִּי גּ וּ ל	piˈ g u l
ל ד ב ו ק	l idˈ b o k
מְ כ וֹ נָ א וּת	me x o naˈ ʔ ut
לְ הֵי רָ גֵ ם	le he raˈ ge m
לְ י יַ לֵ ל	le j aˈ le l
ל ה יד ק ר	le hi da ˈke r
לְ הִ שְׁתַּ זּ ֵ ף	le hi ʃta ˈz e f
עַ דִי	aˈ di
צְ לִי לַה	ts liˈ la
לְ סַ כֵּ ם	le saˈ ke m
לְ תַ קּ ֵ ן	le taˈ k e n
ל ר ו ן	la ˈr o n
רַא ֲ ו וָ ה	raʔ a ˈ v a
ק ר יצ ה	k r itˈs a
רצ ו י	ratˈs u j
לְ עַ מֵ ת	le ʔaˈ me t
לְ חִ י מַה	le xi ˈ ma
יַ ם	ˈja m
נִ פְ רַ ד	ni fˈ ra d
ל ה ית ל ש	le hi ta ˈle ʃ
ק ופ סה	k ufˈ sa
לְ אַ י יֵּ ן	le ʔa ˈ je n
רְ אַ ווְ תַ ן	re ʔa vˈ ta n
גַּ ע ְ שִׁ י	ga ʔ aˈ ʃ i
היס טור י ה	hisˈ tor j a
לְ אַ תְ גֵּ ר	le ʔa tˈ ge r
לִ גְ ד וֹד	li gˈ d od
ל חי מה	le xiˈ ma
מְ צ וּ נָּ ף	me ts uˈ na f
מְ פַ גֵּ ר	me faˈ ge r
פ צו ע	pa tˈsu a
טְ רֶ מְ פּ	tˈ re m p
חֶ בְ רָ ה	xe vˈ r a
לְ הַ שְׁ חִ יז	le ha ʃˈ x iz
ל ה ג ר	le h aˈge r
צָ וו ָ א ר וֹן	ts av a ˈ r on
קַ ד וּ ם	kaˈ d u m
ל ה ל יט	l e haˈl it
חָ מ וֹת	xaˈ m ot
לְ הִ תְ עַ קֵ ם	le hi tʔ aˈ ke m
לְ עַ וּ וֹת	le ʔaˈ v ot
לְ הִ ת ְקַ שּׁ ֵ ט	le hi t kaˈ ʃ e t
ל ל ב ל ב	le la v ˈle v
ל ס ב ך	le sa ˈbe x
ת וֹ אַ ר	ˈt o ʔa r
לְ תַ ווּ ֵ ךְ	le ta ˈv e x
רָ קִי עַ	raˈ ki a
קְ צ וּ בָּ ה	k ts uˈ b a
י ב ו ל	j eˈ vu l
מַ חֹ רַ ת	mo xo ˈra t
שְׁ טִי ח וֹן	ʃ tiˈ x on
דֵלֵ ק	ˈdele k
לְ חַ פּ וֹת	le xaˈ p ot
לְ הַ רְ קִי ד	le ha rˈ ki d
לִ קְ ט וֹ ף	li kˈ t o f
ל ש נ וא	l isˈ n o
עֵ לְ צַה	e l tˈsa
לע ר ס ל	le ʔarˈ se l
לְ הִ י כָּ ב וֹת	le h i kaˈ v ot
נ י י ח	na ˈj a x
א פר ו ח	e fˈr o ax
ל הת נ וצ ץ	le hit n otˈse ts
סָ רִי ס	saˈ ri s
לְ הִ יבַּ חֵ ן	le h ibaˈ xe n
לְ הִ ת ְכַּ סּ וֹת	le hi t kaˈ s ot
עִי ת וּ י	iˈ t u j
הִ תְ כַּ חֲ שׁ וּת	h it ka xaˈ ʃ ut
ח ת ו ך	xa ˈt u x
רְ כִ י שָׁ ה	re x iˈ ʃ a
מ ש וכ ל ל	me ʃ uxˈ la l
זַ ד וֹן	zaˈ d on
א ֲגִ י דָ ה	a g iˈ d a
פִּ רְ אִי	pi rˈ ʔi
מְ ע וּ לֵה	me ʔ u ˈle
מַ שְׁ פֵּ ךְ	ma ʃˈ pe x
רִ שְׁ מִי	ri ʃˈ mi
לְ הִ תְפַּ זּ ֵ ר	le h itpa ˈz e r
לִי כּ וּ ד	liˈ k u d
לְ הִ תְ קַ צֵּ ף	le h it ka tˈse f
צַ פְ צ ֵ פַה	tsa f tse ˈ fa
כִּי נָּ ה	ki ˈn a
מ נ תה	ˈme n ta
ת חז ו ק ה	ta xz uˈ k a
שַׁ מִי שׁ	ʃaˈ mi ʃ
שי ר ש ור	ʃi rˈ ʃ ur
לְ הִ ת ְמַ סֵּ ר	le hi t maˈ se r
לְ א וֹר ֵ ךְ	leˈ ʔ or e x
לַ מָּ ה	ˈla m a
לְ הֵי חַ בֵ שׁ	le he xaˈ ve ʃ
הַ שְׁ גַ חַה	ha ʃ gaˈ xa
ל ה י ע ט ר	le h e ʔ aˈte r
פִּי קֵ חַ	piˈ ke ax
ק ר ו י	kaˈ r u j
לְ הִ תְ עַ טּ ֵ שׁ	le hi tʔ a ˈt e ʃ
ג ופ ר	ˈg ofe r
ל י מו ן	l iˈ mo n
ל ה נ ב יט	le h anˈ b it
בְּ ת וּ לִי	b t uˈ li
אֵ י ר וֹ פַּה	e iˈ r o pa
עוֹ צְ מַה	o tsˈ ma
לְ מַ גֵ ר	le maˈ ge r
נַ ע וּ ץ	naˈ ʔ u ts
אנ כי	anaˈ xi
ל נא ו ת	l inˈʔ o t
מַ ט וֹ ס	maˈ t o s
ר ג ב	ˈre ge v
קְ לִי טַה	k liˈ ta
צַ לְ י יָ ן	tsa lˈ j a n
ע ית ו ן	i ˈt o n
מְ פ וּ בְּ רָ ק	me f u bˈ ra k
מִ שְׁ פַּ ט	mi ʃˈ pa t
לְ הִ תְ נַ עֵ ר	le h it naˈ ʔe r
נֶ א ֱ צָ ל	ne ʔ e tˈsa l
יַה ַ ד וּת	jah aˈ d ut
לִ כְ ל וֹת	li xˈ l ot
הִ תְ עַ רְ ב וּת	hi tʔ a rˈ v ut
כּ ְ רָ זָ ה	k r aˈ z a
לְ ה וֹד וֹת	le h oˈd ot
גֵ בֵ ס	ˈge ve s
לְ אַ רֵ חַ	le ʔaˈ re ax
לְ הִ תְפַּ לֵּ ג	le hi tpaˈ le g
עַ כְ שַׁי ו	a x ˈʃa v
מִ רְ קָ ע	mi rˈ k a
פ ס ו ל	pa ˈs u l
יַ רִי ד	jaˈ ri d
גְ דִי לַה	g diˈ la
ל ח ש ו ך	la xˈ s o x
א ות ה	oˈ t a
לְ הֵי רַ גֵ ם	le he raˈ ge m
אֵ בְ רַה	e vˈ ra
פּ ְגִי עָ ה	p giˈ ʔ a
לֵא ֵ ח וֹ ז	leʔ eˈ x o z
ב ש ר	b ˈsa r
קַ ו	ˈka v
סֶ דֶ ק	ˈse de k
כ וו י	kaˈ vu j
מִ בְ רֶ שֶׁ ת	mi vˈ re ʃe t
לְ הִ י שָּׁ אֵ ב	le h i ʃaˈ ʔe v
פַּ רְ דֵ ס	pa rˈ de s
ל ש ת ף	le ʃ aˈte f
לְ הַ סְ מִי ךְ	le ha sˈ mi x
לְ הִ ת ְרַ בְ רֵ ב	le hi t ra vˈ re v
תַ רְ כִּי ז	ta rˈ ki z
לְ הִ י שָּׂ כֵ ר	le h i saˈ xe r
א ית ור	i ˈt ur
ל פר ז	le faˈre z
לַה ֲ ז וֹת	lah aˈ z ot
לְ הַ עַ מִי ס	le ha ʔaˈ mi s
לְ פַ קֵ ד	le faˈ ke d
פִּי נ וּ י	piˈ n u j
לִ זְ ר וֹ ק	li zˈ r o k
ל מו ת	la ˈmu t
חַ שְׂ פָ נִי ת	xa s faˈ ni t
מַ מְ טֵ רָ ה	ma m teˈ r a
ת ן	ˈta n
מ ת ן	ma ˈta n
לִנְ עוֹ ם	linˈ ʔo m
פָּ ר וּ ד	paˈ r u d
ק ופ ה	k uˈp a
מֵ רְ כַּ בַה	me r kaˈ va
קְ לִי עַה	k liˈ ʔa
מְ שַׁ ווּ ֵ עַ	me ʃa ˈv e a
הִ תְ נַה ֲ ל וּת	h it nah aˈ l ut
לְ הִ ת ְרַ תּ ֵ חַ	le hi t raˈ t e ax
לַ צ ִּ בּ וּ ר	la ts i ˈb u r
לֵא ֵ ר וֹ ג	leʔ eˈ r o g
ל י יח ל	le j aˈxe l
עוֹ נֵ ג	ˈo ne g
ב נ ו י	b aˈn u j
שְׁ עוֹ ן	ʃeˈ ʔo nˈ
לְ הַ תֵ ל	le haˈ te l
ר וֹ זֵ ן	r oˈ ze n
גַ ד וֹ ל	gaˈ d o l
בָּ רֶ קֶ ת	baˈ re ke t
ל הת נ ת ק	le hit na ˈte k
ר יש ו י	r iˈʃ u j
ל ה פ נ ו ת	le h afˈ n o t
מַע ֲ גָ ל	maʔ aˈ ga l
חַ לַה	xaˈ la
ל ה ט מי ן	le h atˈ mi n
ס וֹר ֵ ר	s oˈr e r
שַׂ חְ קַ ן	sa xˈ ka n
סַ חְ טָ ן	sa xˈ ta n
ר י ע נ ו ן	r i ʔ aˈn u n
פי ק פ ו ק	pi kˈ p u k
א וֹד ֵ ם	ˈ od e m
בַּ רַ ד	baˈ ra d
ל ה ד ב יק	le h adˈ b ik
וֶ תֶ ק	ˈve te k
ב ז כ ות	b izˈ x ut
לְ הִ יתַ חֵ ב	le hi taˈ xe v
לְ מַ צַ ב	le maˈ tsa v
לְ הַ ע ֲ ו וֹת	le ha ʔ aˈ v ot
שׁ וֹמְ עִי ם	ʃ omˈ ʔi m
לְ הִ תְ אַ פֵּ ס	le hi tʔ aˈ pe s
דּ ְ אָ גָ ה	d e ʔaˈ g a
חֵ דֵ ק	ˈxe de k
ש ו ב ב	ʃ o ˈva v
חָ ב וּ י	xaˈ v u j
חי מו ם	xiˈ mu m
ל הת א ק ל ם	le hitʔ a kˈ le m
מ ש ק ל	mi ʃ ˈka l
תור ן	toˈr an
ל ת חז ק	le ta xˈze k
נ וֹ סַ ף	n oˈ sa f
לְ הִ י לָּ פֵ ת	le h i laˈ fe t
לְ עַ קֵ ל	le ʔaˈ ke l
ק י י ם	kaˈ j a m
לְ נַ שְׁ נֵ שׁ	le na ʃˈ ne ʃ
מ וּתַ ר	m uˈta r
א ג ר ט ל	a g arˈ ta l
שְׁ לִי שִׁ ית	ʃ liˈ ʃ it
ד ל ות	daˈ l ut
הַ ק וֹ אַ לִי צְ יַה	ha k o aˈ li tsj a
מְ ט וּ גַ ן	me t uˈ ga n
א י וו ל ת	iˈ v el e t
לְ הִ יבַּ עֵ ת	le h ibaˈ ʔe t
ל ג ל ם	le g aˈle m
מֶ כֶ ס	ˈme xe s
ל פ ט ר	le faˈ te r
א וֹצ ַ ר	o tˈs a r
ל מה	ˈla ma
מְ א וּ פָּ ק	me ʔ uˈ pa k
כי ר ה	kiˈ r a
לְ הִ י מָּ שֵׁ ךְ	le h i maˈ ʃe x
ר ע ות	re ˈʔ ut
ל ה פר יז	le h afˈr iz
יְ ר וּ שַׁה	je r uˈ ʃa
מ וּ חְ לַ ט	m u xˈ la t
נִי סָּ י וֹן	ni saˈ j on
תַּ חְ תִּ ית	ta xˈ t it
ל צ ח ק	le ts aˈxe k
מַ כ וֹן	maˈ x on
לְ הִ ישַׁ לֵ ט	le h iʃaˈ le t
מַ מָּ שׁ	maˈ ma ʃ
ל ה ית וס ף	le h it oˈse f
ע י מו ד	i ˈ mu d
פ נ ד ל	ˈpe n de l
לְ הִ ת ְבַּ דֵ ר	le hi t baˈ de r
מַ רְ פֵּ ק	ma rˈ pe k
נַ קָּ ר	naˈ ka r
לְ דַ רְ בֵּ ן	le da rˈ be n
לְ י יַ שּׁ ֵ ב	le j aˈ ʃ e v
ח וֹ שְׁ שַׁ נִי	x o ʃe ʃaˈ ni
הִ יטַ מְ ע וּת	h ita mˈ ʔ ut
ח ת י מה	xa t iˈ ma
טִי פּ ְ שִׁ י	ti p ˈ ʃ i
מָ צוֹ ף	ma tˈso f
ק ד מי	k idˈ mi
לְ הִ ינ ָּ כֵ ר	le h in aˈ xe r
קְ עַ רַה	ke ʔaˈ ra
א וֹר ַח	ˈ or ax
מֵ חְ לַ ף	me xˈ la f
ל ש ל ח	le ʃ aˈlea x
לְ הִ ת ְרַ טּ ֵ ב	le hi t ra ˈt e v
מ ע ו ל ם	me ʔ oˈ la m
כ ר י י ה	k r iˈ j a
ט וּ ר	ˈt u r
מִי ד וּ ר	miˈ d u r
ט וס יק	ˈt us ik
סת י מה	st iˈ ma
הַ פַ כְ פַּ ךְ	ha fa xˈ pa x
ע ומ ר	ˈ ome r
רַ שַׁע	raˈ ʃa
דַּ י יָּ ן	da ˈ ja n
חָ מִי ם	xaˈ mi m
בְּ מַה ֲ לַ ךְ	be mah aˈ la x
פּ ְרַ עוֹ ת	p raˈ ʔo t
יַה ַ ל וֹ ם	jah aˈ l o m
י יח וד י	j ix uˈd i
עַ קִי רַה	a kiˈ ra
חַ לַ ל	xaˈ la l
ה ד פ ס ה	h ad pa ˈs a
הַ ת ְחַ לַה	ha t xaˈ la
חַ בַ ל	xaˈ va l
אִי דּ וּ י	iˈ d u j
פר ק ל יט	pr akˈ l it
דַ קַה	daˈ ka
לְ הִ י מָּ שֵׁ ל	le h i maˈ ʃe l
הִ תְ גַּ שּׁ ְ מ וּת	h it ga ʃ ˈ m ut
ת י וו י	t iˈ vu j
מַ שְׂ כּוֹר ֶ ת	ma sˈ kor e t
לִ רְ ת וֹ ם	li rˈ t o m
פֵּ גֵ ר	ˈpe ge r
מַ חְ סַ ן	ma xˈ sa n
לְ הִ י שָּׁ ת וֹת	le h i ʃaˈ t ot
לְ י יַ נֵ ן	le j aˈ ne n
גֵ בַע	ˈge va
א וֹ הֵ ל	ˈ o he l
ל ר ט ו ט	l irˈ t o t
כָּ רִי ךְ	kaˈ ri x
מ פר ט	ma fˈre t
לְ הִ תְ הַ דֵ ר	le hi th aˈ de r
לְ פַ טּ ֵ ר	le fa ˈt e r
ע צ מא ות	a ts maˈ ʔut
לִ דְ ו וֹת	li dˈ v ot
א כל ן	ax ˈl an
שִׁ יטָּ פ וֹן	ʃ itaˈ f on
הִ תְ קָ רְ ר וּת	h it ka reˈ r ut
לָ לִי ץ	laˈ li ts
ל ח נ ו ת	la x aˈn o t
מ ש ע ו ל	mi ʃˈ ʔ o l
לְ הִ י ווּ ָ דֵ עַ	le h i va ˈ de a
לִ סְ תּ וֹר	li sˈ t or
חַ רִי גַה	xa riˈ ga
ל הת מ ת ח	le hit ma ˈte ax
מ וּצְ לַ ח	m utsˈ la x
הַ אִ ם	haˈ ʔi m
ל ה ר וו י ח	le h arˈ vi a x
הַט ִּ פּ וּ ל	hat i ˈp u l
ח וֹ מֶ ץ	ˈ xo me ts
ל בד ל	le vaˈde l
לְ הִ ת ְחַ מֵ ם	le hi t xaˈ me m
הַ רַ רִי	ha raˈ ri
חַ תַ לְ ת וּ ל	xa ta lˈ t u l
תֵ י בַה	te ˈ va
ל תע ו ת	l itˈʔ o t
זִ י רָ ה	zi ˈ r a
מִ טְ רַ ד	mi tˈ ra d
כ נ ופ י ה	k n ufˈ j a
לְ הֵי אָ הֵ ב	le he ʔaˈ he v
א וֹפַ נַ י יִ ם	o faˈ na j i m
לְ הַ אַ זִ י ן	le ha ʔaˈ z i n
לְ י יַ רֵ ט	le j aˈ re t
בְּ חִ י נָ ה	b xi ˈ n a
די וו ח	diˈ vua x
הִ תְ אַ דּ וּת	hi tʔ aˈ d ut
ל מ ג נ ט	le ma g ˈne t
ל הת מ ע ר ב	le hit ma ʔ aˈre v
לְ י יַ דֵ עַ	le j aˈ de a
כַּ רִי ת	kaˈ ri t
שַׂ קִי ת	saˈ ki t
צְ רַ חַה	ts raˈ xa
לְ שַׁ כֵּ ן	le ʃaˈ ke n
דא ו ן	daˈʔ o n
נ יס י ו ן	n isa ˈj o n
פִּי רְ ס וֹ מֵ ת	pir ˈ s o me t
הִ ת ְרַ שְׁ ל וּת	hi t ra ʃˈ l ut
כל ב	ˈkele v
אֵ י בָ ר	e iˈ va r
רִ שְׁ עָ ה	ri ʃˈ ʔ a
צַ מְ צָ ם	tsa m tˈsa m
לְ הִ ינ ָּ בֵ א	le h in aˈ v e
לְ הִ ת ְמַ לֵא	le hi t maˈ le
ל ה פ חי ת	le h afˈ xi t
לְ הִ יסַ מֵ ךְ	le h isaˈ me x
מִ צְ ו וָ ה	mi ts ˈ v a
ש נא ה	s inˈʔ a
סָ ל וֹן	saˈ l on
רֵ י אַ י וֹן	re ʔ aˈ j on
אַ שַׁ ף	aˈ ʃa f
לִי ט וּ שׁ	liˈ t u ʃ
דר ור	dˈr or
שֵׁ נִי ת	ʃeˈ ni t
טֵלֵ ו וִ י זְ יַה	tele ˈ v i z ja
ל ת מצ ת	le ta mtˈse t
כִּי מּ וּת	kiˈ m ut
ל הת ק פ ל	le hit k aˈpe l
כּ וֹ שֵׁ ר	ˈ ko ʃe r
לְ קַ דֵ שׁ	le kaˈ de ʃ
לְ זַה ֵ ם	le zaˈh e m
ל ט ש ט ש	le ta ʃˈ te ʃ
פּ וּ נְ דַ ק	p u nˈ da k
ל ה ינ ט ע	le hi na ˈte a
ל ב ל ף	le b aˈle f
מַ זְ גָ ן	ma zˈ ga n
מ ש וג ע	me ʃ uˈg a
אַ פ וֹר	aˈ f or
ל ש ט ר	le ʃ aˈte r
צ ֶ דֶ ף	tˈs e de f
א ור י ינ	o rˈ j an
ע נ ן	aˈ na n
לְ צַ נְ רֵ ר	le tsa nˈ re r
לְ הִ ת ְחַ רְ פֵ ן	le hi t xa rˈ fe n
מ ש נה	mi ʃˈ na
צי ל צו ל	tsi l tˈsu l
מַ דַ ף	maˈ da f
טָ ח וּ ן	taˈ x u n
הִ תְי יַ עַ ל וּת	h itj aʔ aˈ l ut
נְ גִ י ף	ne ˈg i f
נָ ט וּ ל	naˈ t u l
שַׁ י י	ˈʃ a j
י ל דו ת	j alˈ du t
ל ה ש ת דר ג	le hi ʃ ta dˈre g
ל ג ע ור	l igˈ ʔ or
מ ע שי	ma ʔ aˈsi
לְ שַׁ קּ ֵ ף	le ʃaˈ k e f
מִ תְ קָ ן	mi tˈ ka n
מ ב ינ י ם	me v iˈn i m
א וֹבְּ סֵ סִי בִי	o b se ˈsi vi
לְ הֵי חַ לֵ שׁ	le he xaˈ le ʃ
זְ מַ נִי	z maˈ ni
טִי מְ ט וּ ם	ti mˈ t u m
ל ח ר ח ר	le xa r ˈxe r
לְ הַ דְ לִי ק	le ha dˈ li k
ל נ ז ו ל	l inˈ z o l
ת ק ן	ˈt eke n
ל ה ג נ י ב	le h agˈ n i v
לְ מַ ס וֹת	le maˈ s ot
סי דו ר	siˈ du r
עָ ר וּ ם	aˈ r u m
לְ הַ רְ שִׁ י ם	le ha rˈ ʃ i m
לִ רְ ט וֹ ט	li rˈ t o t
נְ שִׁ י קָ ה	ne ʃi ˈ k a
צָ רְ פַ ת	tsa rˈ fa t
ל טע ו ם	l itˈʔ o m
ד ל ק ת	daˈ l eke t
לִ שְׂ ח וֹת	li sˈ x ot
לַ חַ ס וֹת	la xaˈ s ot
ל חז ו ק	l axaˈz o k
ט לא י	t ˈla j
פֶּ לֶ ט	ˈpe le t
סְ רִי קַה	s riˈ ka
גְּ דִי לָ ה	g diˈ l a
עֶ לֶ ם	ˈe le m
ל ר ע ו ת	l irˈ ʔ o t
קִי פּ וּ ל	kiˈ p u l
ר וֹת ֵ חַ	r oˈt e ax
ד ל ק	ˈde le k
ל ה ר ה י ב	le h arˈ h i v
א וֹפַ נּ ַ י יִ ם	o faˈ n a j i m
שַׁ מֵ ן	ʃaˈ me n
ל הת ק ל ח	le hit kaˈ le ax
ל פ כ ו ת	le faˈ k o t
פ גי ע	pa ˈgi a
ל התאח ר	le hitʔaˈxe r
מְ א וּת ְגָּ ר	me ʔ ut ˈga r
לְ הִ י שׁ וֹ ם	le hi ˈ ʃ o m
כַּ רִי שׁ	kaˈ ri ʃ
לְ הַ דְ גִ י שׁ	le ha d ˈg i ʃ
שְׂ רִי טָ ה	s riˈ t a
שְׁ ט וּת	ʃˈ t ut
די ו ק ן	dj oˈ k an
תַ ע ְ נִי ת	ta ʔ aˈ ni t
ל הת ל כ ד	le hit la ˈke d
נִ פְ רָ ד	ni fˈ ra d
לְ הַ בְ עִי ת	le ha vˈ ʔi t
מַ רְ שִׁי ם	ma rˈ ʃi m
שֶׁ ל	ˈʃe l
לְ ר וֹ שֵׁ שׁ	le r oˈ ʃe ʃ
א יט ו ם	i ˈt u m
לְ שַׁ חְ רֵ ר	le ʃa xˈ re r
ל מ ר כ ז	le ma r ˈke z
אִי ז וּ ן	iˈ z u n
חי י ט	xaˈj a t
הַ גַ ד וֹ ל	ha gaˈ d o l
מַ גָּ ף	maˈ ga f
נָ מֵ ל	naˈ me l
קַ טָּ ר	kaˈ ta r
א פ וא	eˈ f o
צַ פ וּ י	tsaˈ f u j
נָ מ וּ ךְ	naˈ m u x
זְ ק וּ נִי ם	z k uˈ ni m
לְ הַ שְׁ אִי ר	le ha ʃˈ ʔi r
לִ שְׁ מ וֹ ט	li ʃˈ m o t
ל ת ק ת ק	le ta kˈ te k
ז דו ן	zaˈ do n
לְ הֵי חַ קֵ ק	le he xaˈ ke k
ל מ ק ש	le ma ˈke ʃ
עַ יִ ן	ˈa ji n
ל ה יק ב ץ	le hi kaˈ v ets
נ ח ת	n eˈxa t
ל ק מ ר	le kaˈ me r
ל ה יש ל ח	le hi ʃaˈ le ax
לְ מַ סְ חֵ ר	le ma sˈ xe r
א ל י פ ות	a l iˈ f ut
אַ סְ לָ ה	a sˈ l a
רִי קּ וּ ד	riˈ k u d
צַ נִי ף	tsaˈ ni f
לַ ת וֹ ם	laˈ t o m
ת ר ב ות	ta rˈ b ut
מִ בְ צָ ע	m iv tˈs a
ל ש ם	le ˈʃa m
נ ג ר	na ˈga r
הֶ קְ שֵׁ ר	he kˈ ʃe r
חִ יס וּ ר	xi ˈs u r
לְ סַ פֵּ ק	le saˈ pe k
צַע ֲ דָ ה	tsaʔ aˈ d a
שַׂ עַ רַה	sa ʔaˈ ra
מִ פְ נֶ ה	mi fˈ n e
ל ה ש ת ו ק ק	le hi ʃ t o ˈke k
לַה ֲ ר וֹ ג	lah aˈ r o g
לְ הַ פְ רִי ט	le ha fˈ ri t
קֵ פֵ ל	ˈke fe l
צ נ ו ן	tsˈ n o n
ק וֹ מֵ ץ	ˈ ko me ts
יִ י שׁ וּ ר	ji ˈ ʃ u r
לְ שַׁ פֵּ ד	le ʃaˈ pe d
לַ שׂ וּ שׂ	laˈ s u s
מל ח מ ה	mil xa ˈm a
ל ה יג ר ע	le hi g aˈre a
מ ג דר	mi gˈ dar
גִּ יזָּ ר וֹ ן	gi z aˈ ro n
ר ק ו ע	raˈ k u a
ל פ ס ו ח	l ifˈ s o ax
נְ צִי ב	ne tˈsi v
לְ הִ יקַ דֵ חַ	le h ikaˈ de ax
ל הת ע צ ב	le hitʔ a tˈse v
ד ח ו ק	daˈ x u k
לְ הַט ִּ י ף	l eha ˈt i f
כַּ עֵ ת	kaˈ ʔe t
עַ מִי ד וּת	a miˈ d ut
פּ ְסַ נְ תֵ ר	p sa nˈ te r
בַּ רְ רָ ן	ba reˈ ra n
מַ מְ תָּ ק	ma mˈ ta k
לָ שׂ וּ שׂ	laˈ s u s
דַּ חְ י יָ ן	da xˈ j a n
מְ הֵי מַ ן	me heˈ ma n
ל הת ח ר פ ן	le hit xa rˈ fe n
תַּ בְ נִי ת	ta vˈ ni t
לַעַ מ וֹ ם	laʔaˈ m o m
הת חי י ב ות	hit xa jˈ v ut
לא ח ר ו נה	laʔ axa r oˈ na
עוֹ בֵ שׁ	ˈo ve ʃ
לְ הִ שְׁתַּ דֵּ ל	le hi ʃtaˈ de l
שִׂ מְ חָ ה	s imˈ x a
ת פי ח ה	t fiˈ x a
צַ ייְ תַ ן	tsa jˈ ta n
הִ יט ַּ מּ ְ ע וּת	h it a m ˈ ʔ ut
ע פי ץ	aˈ fi ts
לְ הִ י שָּׁ חֵ ק	le h i ʃaˈ xe k
שְׁ נָ תִי	ʃ naˈ ti
מַ חְ פֵּ ר	ma xˈ pe r
לְ שַׁ קְ שֵׁ ק	le ʃa kˈ ʃe k
שֵׁ לֵ ג	ˈʃe le g
ל ט ר ו ק	l itˈ r o k
לִ רְ ו וֹ חַ	li rˈ v o ax
בַּ שָּׁ נָ ה	ba ʃaˈ n a
ל ח ר ו ט	la xa ˈr o t
לְ זַ נֵּ ק	le zaˈ ne k
ל בד ו ק	l ivˈd o k
ל ה י ע ת ר	le h e ʔ aˈte r
ש פ ופ ר ת	ʃ f oˈfe re t
ל ק ל ו ט	l ikˈ l o t
לְ הִ יצ ָּ ל וֹת	le h its aˈ l ot
מַ שׂ וֹ שׂ	maˈ s o s
שִׁ י מּ וּ שִׁ י	ʃ i m uˈ ʃ i
שַׁ רְ בִי ט	ʃa rˈ vi t
לִ שְׁ ט וֹ חַ	li ʃˈ t o ax
פּ ְרִי צָ ה	p ri tˈs a
ו ְ עִי דָ ה	v e ʔiˈ d a
הִ תְ אַה ַ ב וּת	hi tʔ ah aˈ v ut
יֵ שַׁע	ˈje ʃa
ל פ צ ל	le f atˈse l
טַ לֶ בּ	taˈ le b
בְּ רַ כַה	b ra ˈxa
מֶ סֶ ר	ˈme se r
תּ ְשׁ וּ רָ ה	t ʃ uˈ r a
מַ סְ מֵ ר	ma sˈ me r
ל ק ר ו ב	l ikˈ r o v
ל כ ר ו ת	l ixˈ r o t
שַׁ בְּ תַ א י	ʃa bˈ t a j
יַצ ִי ב וּת	jats iˈ v ut
אַ גְ רָ ה	a gˈ r a
לְ הִ ידַ רֵ שׁ	le hi daˈ re ʃ
ר ש ע	ˈre ʃ a
טִי ה וּ ר	tiˈ h u r
ל כא ן	l eˈx an
חַ צִי ל	xa tˈsi l
לְ הִ סְ תַּ גֵּ ף	le hi s taˈ ge f
סְ פ וֹ ג	sˈ f o g
ל ב ג ור	l ivˈ g or
מ ז מ ן	mi zˈ ma n
לְ הִ זְ דַ קֵ ף	le hi z daˈ ke f
ח מי שי	xa miˈ ʃi
ל י י ל ל	le j aˈ le l
ד ח ק	ˈda xa k
לְ הַ פְ סִי ק	le ha fˈ si k
א ר כ ה	a rˈ k a
נַ חַ שׁ	naˈ xa ʃ
כי וו ן	keˈ va n
ל תע ד ף	le taʔ aˈde f
ל ר ב ו ת	le raˈ b o t
ח וּ רְ בָּ ן	x u rˈ ba n
ל ה יג מ ר	le hi g aˈme r
ה דר כ ה	h adraˈ x a
לְ הִ יבַּ רֵא	le h ibaˈ re
נַ ע וּ ל	naˈ ʔ u l
לִי ר וֹת	liˈ r ot
לְ הֵי עַ תֵ ר	le he ʔaˈ te r
כַּ ת וּ ב	kaˈ t u v
מַ ס וֹ ק	maˈ s o k
לַ ח וּ ב	laˈ x u v
ל ה נה יג	le h anˈhi g
ל מלא ת	l imˈlo t
אַ בַ ד וֹן	a vaˈ d on
סִי מָ נִי יָּ ה	si ma niˈ j a
הַ בַ נַה	ha vaˈ na
הַ קְ פַּ אַה	ha k paˈ ʔa
א יז ו ן	i ˈz u n
זְ חִ י לָ ה	z xi ˈ l a
מַ דָּ ף	maˈ da f
ח ד	ˈxa d
לְ הִ יזָּ קֵ ק	le h izaˈ ke k
לֵא ֵ ג וֹר	leʔ eˈ g or
לִ סְ ל וֹ חַ	li sˈ l o ax
ו ֵ תֵ ק	ˈv e te k
לְ קַ דֵּ ד	le kaˈ de d
זִ י כָּ ר וֹן	z i kaˈ r on
מַ שׁ וֹ ב	maˈ ʃ o v
טֶ בַע	ˈte va
מְ צ וּ נַ ן	me ts uˈ na n
